Source,Target,Polarity
CCL2__Perceptron,APC__1,positive
IL10,APC__1,negative
IL4,APC__1,positive
TNF__Perceptron,APC__1,positive
IFNG,APC__2,positive
IL12,APC__2,positive
TGFB1,APC__2,negative
APC__1,APC__Perceptron,NaN
APC__2,APC__Perceptron,NaN
IL6__Perceptron,B-cell__1,positive
IL1B__Perceptron,B-cell__1,positive
IL12,B-cell__1,positive
IL21,B-cell__1,positive
IFNG,B-cell__1,positive
CCL2__Perceptron,B-cell__1,positive
IL17A,B-cell__2,positive
CXCL8,B-cell__2,positive
IL2,B-cell__2,positive
IL4,B-cell__2,positive
IL10,B-cell__2,positive
B-cell__1,B-cell__Perceptron,NaN
B-cell__2,B-cell__Perceptron,NaN
CCL5,CCL2__1,positive
IL17A,CCL2__1,positive
TGFB1,CCL2__1,positive
IL4,CCL2__1,positive
Spn,CCL2__1,positive
TNF__Perceptron,CCL2__2,positive
S100A12,CCL2__2,positive
IFNG,CCL2__2,positive
IL1B__Perceptron,CCL2__2,positive
IL6__Perceptron,CCL2__2,positive
CCL2__2,CCL2__Perceptron,NaN
CCL2__1,CCL2__Perceptron,NaN
IL1B__Perceptron,CCL5,positive
TNF__Perceptron,CCL5,positive
IFNG,CCL5,positive
IL10,CXCL8,negative
IL17A,CXCL8,positive
IL1B__Perceptron,CXCL8,positive
IL2,CXCL8,positive
Spn,CXCL8,positive
TNF__Perceptron,CXCL8,positive
IL1B__Perceptron,ICAM1,positive
CCL5,ICAM1,positive
IFNG,ICAM1,positive
TNF__Perceptron,ICAM1,positive
IL23,IFNG,positive
IL21,IFNG,positive
TNF__Perceptron,IFNG,positive
IL12,IFNG,positive
IL10,IFNG,negative
IL2,IFNG,positive
TNF__Perceptron,IL10,positive
TGFB1,IL10,positive
Spn,IL10,positive
IL2,IL10,positive
IL17A,IL10,positive
IL6__Perceptron,IL10,positive
IFNG,IL12,positive
IL10,IL12,negative
Spn,IL12,negative
TGFB1,IL12,negative
TNF__Perceptron,IL12,positive
IL6__Perceptron,IL17A,positive
IL10,IL17A,negative
IL1B__Perceptron,IL17A,positive
IL21,IL17A,positive
IL23,IL17A,positive
TNF__Perceptron,IL1B__1,positive
IL10,IL1B__1,negative
CXCL8,IL1B__1,positive
IL4,IL1B__1,negative
Spn,IL1B__2,positive
IL17A,IL1B__2,positive
IFNG,IL1B__2,positive
IL1B__1,IL1B__Perceptron,NaN
IL1B__2,IL1B__Perceptron,NaN
IL10,IL2,negative
IL12,IL2,positive
IL1B__Perceptron,IL2,positive
IL1B__Perceptron,IL23,positive
Spn,IL23,negative
CCL2__Perceptron,IL6__1,positive
CXCL8,IL6__1,positive
TGFB1,IL6__1,positive
IFNG,IL6__1,positive
IL2,IL6__1,positive
IL17A,IL6__1,positive
TNF__Perceptron,IL6__2,positive
Spn,IL6__2,positive
IL10,IL6__2,negative
ICAM1,IL6__2,positive
CCL5,IL6__2,positive
IL1B__Perceptron,IL6__2,positive
IL6__1,IL6__Perceptron,NaN
IL6__2,IL6__Perceptron,NaN
IL17A,S100A12,positive
neutrophil__Perceptron,Spn,negative
IL23,Spn,positive
B-cell__Perceptron,Spn,negative
IL12,Spn,negative
CCL2__Perceptron,TGFB1,positive
IL10,TGFB1,positive
IL1B__Perceptron,TGFB1,positive
IL1B__Perceptron,TNF__1,positive
ICAM1,TNF__1,positive
Spn,TNF__1,positive
IL10,TNF__1,negative
IL23,TNF__1,positive
IL4,TNF__2,negative
IL2,TNF__2,positive
IL17A,TNF__2,positive
IFNG,TNF__2,positive
TNF__1,TNF__Perceptron,NaN
TNF__2,TNF__Perceptron,NaN
IFNG,Th1,positive
IL10,Th1,negative
IL12,Th1,positive
IL4,Th1,negative
IL6__Perceptron,Th1,negative
IFNG,Th17__1,negative
IL1B__Perceptron,Th17__1,positive
IL23,Th17__1,positive
IL6__Perceptron,Th17__1,positive
IL17A,Th17__2,positive
IL2,Th17__2,negative
IL4,Th17__2,negative
Th17__2,Th17__Perceptron,NaN
Th17__1,Th17__Perceptron,NaN
IFNG,Th2,negative
IL10,Th2,positive
IL12,Th2,negative
IL4,Th2,positive
IL2,Treg,positive
TGFB1,Treg,positive
S100A12,neutrophil__1,positive
IL4,neutrophil__1,positive
IL1B__Perceptron,neutrophil__1,positive
IL10,neutrophil__1,negative
CXCL8,neutrophil__1,positive
CCL2__Perceptron,neutrophil__1,positive
IL12,neutrophil__2,positive
CCL5,neutrophil__2,positive
IL23,neutrophil__2,positive
Spn,neutrophil__2,positive
IFNG,neutrophil__2,positive
TNF__Perceptron,neutrophil__2,positive
neutrophil__1,neutrophil__Perceptron,NaN
neutrophil__2,neutrophil__Perceptron,NaN
