Source,Target,Polarity
acetylcholine,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,positive
acetyl-CoA,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,positive
ATP,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,positive
hypoxia,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,positive
IFNG,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,positive
IL1B,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,positive
IL6,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,positive
phospholipid,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,positive
ROS,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,positive
TNF,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,positive
glycine,"5,10-methylenetetrahydrofolate",positive
EGFR,ABL1,positive
ERBB2,ABL1,positive
NOTCH1,ABL1,negative
PRKCD,ABL1,positive
proteintyrosinekinase,ABL1,positive
receptorprotein-tyrosinekinase,ABL1,positive
ROS,ABL1,positive
TGFB1,ABL1,positive
TNF,ABL1,positive
aceticacid,ACACA,positive
citrate,ACACA,positive
glucose,ACACA,positive
glutamate,ACACA,positive
glutamine,ACACA,positive
PI3K,ACACA,positive
SREBF1,ACACA,positive
oxygen,acetaldehyde,positive
acetylcholine,aceticacid,positive
acetyl-CoA,aceticacid,positive
acetyl-CoAhydrolase,aceticacid,positive
CO2,aceticacid,positive
glucose,aceticacid,positive
NAD+,aceticacid,positive
oxygen,aceticacid,positive
Pi,aceticacid,positive
pyruvate,aceticacid,positive
succinate,aceticacid,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine,acetylcholine,negative
aceticacid,acetylcholine,positive
acetyl-CoA,acetylcholine,positive
ACLY,acetylcholine,positive
choline,acetylcholine,positive
glucose,acetylcholine,positive
glutamate,acetylcholine,positive
glycine,acetylcholine,positive
