Source,Target,Polarity
acetylcholine__Perceptron,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__1,positive
ATP__Perceptron,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__1,positive
IFNG__Perceptron,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__1,positive
IL6__Perceptron,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__1,positive
ROS__Perceptron,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__1,positive
acetyl-CoA__Perceptron,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__2,positive
hypoxia,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__2,positive
IL1B__Perceptron,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__2,positive
phospholipid__Perceptron,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__2,positive
TNF__Perceptron,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__2,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__1,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__Perceptron,NaN
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__2,1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__Perceptron,NaN
glycine,"5,10-methylenetetrahydrofolate",positive
TNF__Perceptron,ABL1__1,positive
ROS__Perceptron,ABL1__1,positive
proteintyrosinekinase__Perceptron,ABL1__1,positive
NOTCH1__Perceptron,ABL1__1,negative
EGFR__Perceptron,ABL1__1,positive
receptorprotein-tyrosinekinase__Perceptron,ABL1__2,positive
ERBB2__Perceptron,ABL1__2,positive
TGFB1__Perceptron,ABL1__2,positive
PRKCD__Perceptron,ABL1__2,positive
ABL1__1,ABL1__Perceptron,NaN
ABL1__2,ABL1__Perceptron,NaN
aceticacid__Perceptron,ACACA__1,positive
glucose__Perceptron,ACACA__1,positive
glutamine__Perceptron,ACACA__1,positive
SREBF1__Perceptron,ACACA__1,positive
PI3K__Perceptron,ACACA__2,positive
citrate__Perceptron,ACACA__2,positive
glutamate__Perceptron,ACACA__2,positive
ACACA__2,ACACA__Perceptron,NaN
ACACA__1,ACACA__Perceptron,NaN
acetylcholine__Perceptron,ACHE__1,negative
ascorbicacid,ACHE__1,negative
Pi,ACHE__1,negative
glutamate__Perceptron,ACHE__1,positive
NH3__Perceptron,ACHE__1,negative
ROS__Perceptron,ACHE__2,positive
oxygen__Perceptron,ACHE__2,negative
glucose__Perceptron,ACHE__2,positive
acetylcholinesterase,ACHE__2,negative
metformin,ACHE__2,negative
ACHE__1,ACHE__Perceptron,NaN
ACHE__2,ACHE__Perceptron,NaN
SREBF1__Perceptron,ACLY,positive
citrate__Perceptron,ACLY,positive
coenzymeA,ACLY,negative
SREBF1__Perceptron,ACSS2,positive
aceticacid__Perceptron,ACSS2,positive
hypoxia,ACSS2,positive
AKT1__Perceptron,ADP,positive
glucose__Perceptron,ADP,positive
glutamate__Perceptron,ADP,negative
oxygen__Perceptron,ADP,negative
AURKA,AKT1__1,positive
KRAS,AKT1__1,positive
PARP1__Perceptron,AKT1__1,negative
glycine,AKT1__1,positive
ROS__Perceptron,AKT1__1,negative
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__Perceptron,AKT1__1,positive
lactate__Perceptron,AKT1__2,positive
STK11__Perceptron,AKT1__2,negative
phenformin,AKT1__2,negative
histonedeacetylase__Perceptron,AKT1__2,positive
docosahexaenoicacid,AKT1__2,negative
ABL1__Perceptron,AKT1__2,positive
E2F,AKT1__3,positive
HMGCR,AKT1__3,negative
TNF__Perceptron,AKT1__3,positive
ADP,AKT1__3,positive
MYC__Perceptron,AKT1__3,positive
phospholipid__Perceptron,AKT1__3,positive
AMP,AKT1__4,positive
E2F1__Perceptron,AKT1__4,positive
hypoxia,AKT1__4,positive
NAD+__Perceptron,AKT1__4,negative
PI3K__Perceptron,AKT1__4,positive
PIK3CA,AKT1__5,positive
FASN,AKT1__5,positive
NADH__Perceptron,AKT1__5,positive
IFNG__Perceptron,AKT1__5,positive
ascorbicacid,AKT1__5,positive
NFE2L2__Perceptron,AKT1__6,positive
ATP__Perceptron,AKT1__6,positive
receptorprotein-tyrosinekinase__Perceptron,AKT1__6,positive
IL6__Perceptron,AKT1__6,positive
glucose__Perceptron,AKT1__6,negative
AKT1__1,AKT1__Perceptron,NaN
AKT1__2,AKT1__Perceptron,NaN
AKT1__3,AKT1__Perceptron,NaN
AKT1__4,AKT1__Perceptron,NaN
AKT1__5,AKT1__Perceptron,NaN
AKT1__6,AKT1__Perceptron,NaN
NAD+__Perceptron,AMP,positive
oxygen__Perceptron,AMP,positive
glutamate__Perceptron,AMP,negative
ADP,AMP,positive
lysine,AMP,positive
PPARG__Perceptron,AMPK__1,positive
MYC__Perceptron,AMPK__1,positive
ATP__Perceptron,AMPK__1,positive
TP53__Perceptron,AMPK__1,positive
glutamine__Perceptron,AMPK__1,positive
aceticacid__Perceptron,AMPK__1,positive
BRAF__Perceptron,AMPK__2,negative
proteintyrosinekinase__Perceptron,AMPK__2,positive
ACLY,AMPK__2,negative
H+__Perceptron,AMPK__2,positive
NADH__Perceptron,AMPK__2,positive
ROS__Perceptron,AMPK__3,positive
adenylatekinase__Perceptron,AMPK__3,positive
docosahexaenoicacid,AMPK__3,positive
hypoxia,AMPK__3,positive
NADHdehydrogenase(ubiquinone)__Perceptron,AMPK__3,negative
STK11__Perceptron,AMPK__4,positive
PARP1__Perceptron,AMPK__4,positive
ADP,AMPK__4,positive
EGFR__Perceptron,AMPK__4,positive
IL6__Perceptron,AMPK__4,positive
lactate__Perceptron,AMPK__5,positive
AKT1__Perceptron,AMPK__5,negative
phenformin,AMPK__5,positive
glucose__Perceptron,AMPK__5,unknown
TGFB1__Perceptron,AMPK__5,positive
TORC1__Perceptron,AMPK__6,negative
glutamate__Perceptron,AMPK__6,positive
metformin,AMPK__6,positive
AMP,AMPK__6,positive
PI3K__Perceptron,AMPK__6,positive
AMPK__1,AMPK__Perceptron,NaN
AMPK__2,AMPK__Perceptron,NaN
AMPK__3,AMPK__Perceptron,NaN
AMPK__4,AMPK__Perceptron,NaN
AMPK__5,AMPK__Perceptron,NaN
AMPK__6,AMPK__Perceptron,NaN
MRNcomplex,ATM/ATR,positive
LDHA,ATP__1,positive
fumarate,ATP__1,positive
pyruvatedehydrogenase(acetyl-transferring)__Perceptron,ATP__1,positive
AMPK__Perceptron,ATP__1,positive
oxygen__Perceptron,ATP__1,positive
1-O-Stearoyl-2-acetyl-sn-glyceryl-3-phosphorylcholine__Perceptron,ATP__1,positive
glucose__Perceptron,ATP__2,positive
MTOR__Perceptron,ATP__2,positive
ascorbicacid,ATP__2,positive
PARP1__Perceptron,ATP__2,negative
SLC2A1__Perceptron,ATP__2,positive
aceticacid__Perceptron,ATP__2,positive
NAD+__Perceptron,ATP__3,positive
PFKFB3,ATP__3,positive
glutamate__Perceptron,ATP__3,positive
CCNB1,ATP__3,positive
STK11__Perceptron,ATP__3,negative
acetylcholine__Perceptron,ATP__3,positive
citrate__Perceptron,ATP__4,positive
H+__Perceptron,ATP__4,positive
PI3K__Perceptron,ATP__4,positive
acetyl-CoA__Perceptron,ATP__4,positive
succinate__Perceptron,ATP__4,positive
NADH__Perceptron,ATP__4,positive
CO2__Perceptron,ATP__5,positive
acylphosphatase,ATP__5,negative
H+-transportingtwo-sectorATPase__Perceptron,ATP__5,positive
PKM,ATP__5,positive
NADPH__Perceptron,ATP__5,positive
succinatedehydrogenase(ubiquinone)__Perceptron,ATP__5,positive
TGFB1__Perceptron,ATP__6,positive
PPARG__Perceptron,ATP__6,negative
NFE2L2__Perceptron,ATP__6,positive
ADP,ATP__6,positive
HIF-1__Perceptron,ATP__6,positive
CPT1A,ATP__6,positive
NH3__Perceptron,ATP__7,negative
TORC1__Perceptron,ATP__7,positive
cysteine,ATP__7,negative
AKT1__Perceptron,ATP__7,positive
PPi,ATP__7,positive
HK2,ATP__7,positive
cytochromecoxidase__Perceptron,ATP__8,positive
alpha-ketoglutarate__Perceptron,ATP__8,positive
oxaloacetate,ATP__8,positive
IFNG__Perceptron,ATP__8,positive
PRKCD__Perceptron,ATP__8,positive
ATP__8,ATP__Perceptron,NaN
ATP__1,ATP__Perceptron,NaN
ATP__2,ATP__Perceptron,NaN
ATP__3,ATP__Perceptron,NaN
ATP__4,ATP__Perceptron,NaN
ATP__5,ATP__Perceptron,NaN
ATP__6,ATP__Perceptron,NaN
ATP__7,ATP__Perceptron,NaN
MYC__Perceptron,AURKA,positive
TP53__Perceptron,AURKA,negative
CDK1__Perceptron,AURKA,positive
hypoxia,AURKA,positive
BUB1B,AURKB,negative
CDK1__Perceptron,AURKB,positive
PARP1__Perceptron,AURKB,negative
AKT1__Perceptron,BCL2__1,positive
E2F1__Perceptron,BCL2__1,negative
MAPK14__Perceptron,BCL2__1,negative
TP53__Perceptron,BCL2__1,negative
docosahexaenoicacid,BCL2__2,positive
IDH1,BCL2__2,negative
MYC__Perceptron,BCL2__2,negative
BCL2__2,BCL2__Perceptron,NaN
BCL2__1,BCL2__Perceptron,NaN
glucose__Perceptron,BRAF__1,positive
KRAS,BRAF__1,positive
proteintyrosinekinase__Perceptron,BRAF__1,positive
receptorprotein-tyrosinekinase__Perceptron,BRAF__1,positive
IGFBP7,BRAF__2,negative
PI3K__Perceptron,BRAF__2,positive
RasGTPase__Perceptron,BRAF__2,positive
BRAF__1,BRAF__Perceptron,NaN
BRAF__2,BRAF__Perceptron,NaN
TP53__Perceptron,BRCA1,unknown
CHEK2,BRCA1,positive
E2F1__Perceptron,BRCA1,positive
H2AFX,BRCA1,positive
TP53BP1,BRCA1,positive
TP73,BUB1B,positive
BUB1B,CCNB1,negative
E2F1__Perceptron,CCNB1,positive
KLF4,CCNB1,negative
MYC__Perceptron,CCNB1,positive
