Source,Target,Polarity
CCL2,APC,positive
IFNG,APC,positive
IL10,APC,negative
IL12,APC,positive
IL4,APC,positive
TGFB1,APC,negative
TNF,APC,positive
CCL2,B-cell,positive
CXCL8,B-cell,positive
IFNG,B-cell,positive
IL10,B-cell,positive
IL12,B-cell,positive
IL17A,B-cell,positive
IL1B,B-cell,positive
IL2,B-cell,positive
IL21,B-cell,positive
IL4,B-cell,positive
IL6,B-cell,positive
CCL5,CCL2,positive
IFNG,CCL2,positive
IL17A,CCL2,positive
IL1B,CCL2,positive
IL4,CCL2,positive
IL6,CCL2,positive
Spn,CCL2,positive
S100A12,CCL2,positive
TGFB1,CCL2,positive
TNF,CCL2,positive
IFNG,CCL5,positive
IL1B,CCL5,positive
TNF,CCL5,positive
IL2,Treg,positive
TGFB1,Treg,positive
IL10,CXCL8,negative
IL17A,CXCL8,positive
IL1B,CXCL8,positive
IL2,CXCL8,positive
Spn,CXCL8,positive
TNF,CXCL8,positive
CCL5,ICAM1,positive
IFNG,ICAM1,positive
IL1B,ICAM1,positive
TNF,ICAM1,positive
IL10,IFNG,negative
IL12,IFNG,positive
IL2,IFNG,positive
IL21,IFNG,positive
IL23,IFNG,positive
TNF,IFNG,positive
IL17A,IL10,positive
IL2,IL10,positive
IL6,IL10,positive
Spn,IL10,positive
TGFB1,IL10,positive
TNF,IL10,positive
IFNG,IL12,positive
IL10,IL12,negative
Spn,IL12,negative
TGFB1,IL12,negative
TNF,IL12,positive
IL10,IL17A,negative
IL1B,IL17A,positive
IL21,IL17A,positive
IL23,IL17A,positive
IL6,IL17A,positive
CXCL8,IL1B,positive
IFNG,IL1B,positive
IL10,IL1B,negative
IL17A,IL1B,positive
IL4,IL1B,negative
Spn,IL1B,positive
TNF,IL1B,positive
IL10,IL2,negative
IL12,IL2,positive
IL1B,IL2,positive
IL1B,IL23,positive
Spn,IL23,negative
CCL2,IL6,positive
CCL5,IL6,positive
CXCL8,IL6,positive
ICAM1,IL6,positive
IFNG,IL6,positive
IL10,IL6,negative
IL17A,IL6,positive
IL1B,IL6,positive
IL2,IL6,positive
Spn,IL6,positive
TGFB1,IL6,positive
TNF,IL6,positive
CCL2,neutrophil,positive
CCL5,neutrophil,positive
CXCL8,neutrophil,positive
IFNG,neutrophil,positive
IL10,neutrophil,negative
IL12,neutrophil,positive
IL1B,neutrophil,positive
IL23,neutrophil,positive
IL4,neutrophil,positive
Spn,neutrophil,positive
S100A12,neutrophil,positive
TNF,neutrophil,positive
B-cell,Spn,negative
IL12,Spn,negative
IL23,Spn,positive
neutrophil,Spn,negative
IL17A,S100A12,positive
CCL2,TGFB1,positive
IL10,TGFB1,positive
IL1B,TGFB1,positive
IFNG,Th17,negative
IL17A,Th17,positive
IL1B,Th17,positive
IL2,Th17,negative
IL23,Th17,positive
IL4,Th17,negative
IL6,Th17,positive
IFNG,Th1,positive
IL10,Th1,negative
IL12,Th1,positive
IL4,Th1,negative
IL6,Th1,negative
IFNG,Th2,negative
IL10,Th2,positive
IL12,Th2,negative
IL4,Th2,positive
ICAM1,TNF,positive
IFNG,TNF,positive
IL10,TNF,negative
IL17A,TNF,positive
IL1B,TNF,positive
IL2,TNF,positive
IL23,TNF,positive
IL4,TNF,negative
Spn,TNF,positive
